Metric,Value,Unit,Formula / Driver
CPU servers,417,servers,Workload-derived
GPU servers,30,servers,Workload-derived
Storage servers,161,servers,Workload-derived
Total servers,608,servers,Sum of server classes
Rack equivalents,19.0,racks,Servers / servers per rack
Server IT load,0.901,MW,Workload-derived
Total IT load,1.01,MW,Adds network/other IT
Facility load before headroom,1.262,MW,IT x PUE
Facility design load,1.514,MW,Adds design headroom
Sites required by MW,1,sites,Design MW / site capacity
Recommended sovereign sites,3,sites,"Max(capacity, minimum sites)"
Average design MW/site,0.5,MW/site,Design MW / sites
CPU server CAPEX,5.0,EUR mm,CPU servers x unit cost
GPU server CAPEX,7.2,EUR mm,GPU servers x unit cost
Storage server CAPEX,5.64,EUR mm,Storage servers x unit cost
Network CAPEX,3.21,EUR mm,% of server CAPEX
Facility CAPEX,15.14,EUR mm,Design MW x facility EUR/MW
Total CAPEX,36.19,EUR mm,IT + network + facility
Annual energy,11055.0,MWh/year,"Facility MW x 8,760"
Electricity price used,136.1,EUR/MWh,Country parameter
Annual power OPEX,1.5,EUR mm/year,MWh x EUR/MWh
Annual non-power OPEX,1.63,EUR mm/year,% of total CAPEX
Total annual OPEX,3.13,EUR mm/year,Power + non-power
